Individuo Cultura Forma_Cabeza Orejas Ojos Nariz Boca Material
ZU12 Zenu_temprano Montaña_invertida_sin_cuello Banano Vaina_de_arverja Avioneta Raja Ceramica
ZU13 Zenu_temprano Globito_sin_menton Banano Eternos Adicion Europea Ceramica
ZU14 Zenu_temprano Queso Banano Habichuela Avioneta Raja Ceramica
ZU15 Zenu_temprano Triangular Dona Eternos Rana Interrumpida Ceramica
ZU16 Zenu_temprano Montaña_invertida_con_menton Dona Eternos Avioneta Yeison Ceramica
ZU17 Zenu_temprano Triangular Dona Rajao Avioneta Europea Ceramica
ZU18 Zenu_tardio Alargada Dona Rana Poporo Yeison Orfebreria
ZU19 Zenu_tardio Cono Dona Rana Payaso Yeison Orfebreria
ZU20 Zenu_tardio Alargada Banano Rana Vela_de_Barco Raja Orfebreria
ZU21 Zenu_tardio Alargada Sordo Rana Payaso Raja Orfebreria
ZU22 Zenu_tardio "+180_3d" Sordo Rana Butifarra Raja Orfebreria
ZU23 Zenu_tardio Alargada Banano Rana Butifarra Raja Orfebreria
ZU24 Zenu_tardio "+180_3d" Sordo Rana Butifarra Raja Orfebreria
ZU25 Zenu_tardio Triangular_con_lineas Dona Flotador Cactus_al_reves Reseca Orfebreria
ZU26 Zenu_tardio Alargada Banano Flotador Poporo Yeison Orfebreria
ZU27 Zenu_tardio Queso Sordo Flotador Palito Yeison Orfebreria
ZU28 Zenu_temprano Queso Banano Eternos Aplastada Europea Ceramica
ZU29 Zenu_temprano "-1802" Sordo Vaina_de_arverja Palito_con_nostrils Yeison Orfebreria
ZU30 Zenu_temprano Alargada Sordo Hinchados Realista Yeison Orfebreria
ZU31 Zenu_temprano Triangular_con_menton Rollo_de_canela Habichuela Adicion Botox Orfebreria
ZU32 Zenu_temprano "-1802" Sordo Abiertos Palito_con_nostrils Raja Orfebreria
ZU33 Zenu_tardio Triangular_con_lineas Sordo Rajao Palito Piquito Orfebreria
TU33 Tumaco Alargada Tres_huecos Abiertos Avioneta Raja Ceramica
QU29 Quimbaya_temprano Triangular_con_menton Sordo Habichuela Poporo Botox Orfebreria
QU30 Quimbaya_tardio "-1802" Sordo Rajao Palito 2_lineas_paralelas Orfebreria
QU31 Quimbaya_tardio Queso Sordo Rajao Avioneta Raja Ceramica
QU32 Quimbaya_temprano Alargada_con_lineas Sordo Habichuela Aplastada Botox Orfebreria
QU33 Quimbaya_tardio Alargada Sordo Flotador Avioneta Yeison Orfebreria
ZU34 Quimbaya_temprano Triangular Sordo Rajao Palito Raja Orfebreria
