Codigo Arenisca Grano_medio Grano_fino Grano_muy_fino Lodolita Lodolita_negra Limolita Tallada Pulida Bloque Canto Largo Ancho Espesor Uso Descarte Manufactura Reciclado Abastecimiento
CO_147_2_29_B_B9_6 1 0 0 0 0 0 0 1 0 1 0 4.14 3.5 1.2 1 0 0 0 0
CO_147_2_29_B_A9 0 0 1 0 0 0 0 1 0 0 0 3.9 4.32 1.16 1 0 0 0 0
CO_147_2_29_B_A46 0 0 0 0 1 0 0 1 0 0 0 4.32 8.54 1.67 1 0 0 0 0
CO_147_2_29_B_A44 0 0 0 0 1 0 0 1 0 0 0 3.57 10.18 2.45 1 0 0 0 0
CO_147_2_29_B_D46_1 0 0 0 0 1 0 0 1 0 0 0 3.55 2.38 1.37 1 0 0 0 0
CO_147_2_29_B_D46_2 0 0 0 0 1 0 0 1 0 0 0 4.87 9.5 2.11 1 0 0 0 0
CO_147_2_29_B_D32_1 0 0 0 0 1 0 0 1 0 0 0 7.75 6.4 2.16 1 0 0 0 0
CO_147_2_29_B_D32_2 0 0 0 0 1 0 0 1 0 0 0 6.82 8.56 2.08 1 0 0 0 0
CO_147_2_29_B_D30_1 0 0 0 0 1 0 0 1 0 0 0 6.7 6.3 1.01 1 0 0 0 0
CO_147_2_29_B_D31 0 0 0 0 1 0 0 1 0 0 0 8.36 6.97 3.44 1 0 0 0 0
CO_147_2_29_B_D26_1 0 0 0 0 1 0 0 1 0 0 0 6.05 4.18 0.97 1 0 0 0 0
CO_147_2_29_B_D27 0 0 0 0 1 0 0 1 0 0 0 7.36 5.25 1.15 1 0 0 0 0
CO_147_2_29_B_G8_3 0 0 0 0 1 0 0 1 0 0 0 4.67 2.84 0.8 1 0 0 0 0
CO_147_2_29_B_G32 0 0 0 0 1 0 0 1 0 1 0 4.35 1.69 0.97 1 0 0 0 0
CO_147_2_29_B_F27 0 0 0 0 1 0 0 1 0 0 0 3 3.56 0.38 1 0 0 0 0
CO_147_2_29_B_F7_1 0 0 1 0 0 0 0 1 0 0 0 4.65 4.02 1.11 1 0 0 0 0
